Name,Area,Address,Years of Experience,Link For Booking
Dr. Rajendra Patil,Pimple Saudagar,"205, Prime Square, Kunal Icon Road, Landmark: Opposite Datta Raj Mandir, Pune",22,https://www.practo.com/pune/doctor/dr-rajendra-vasant-patil?specialization=cardiologist
Dr. Ajitkumar Jadhav,Pimple Saudagar,"1st Floor, Kunjir Shyama Prestige, Rahatani Road, Landmark: Opposite Vijay Sales & Near Kokane Chowk, Pune",9,https://www.practo.com/pune/doctor/ajitkumar-jadhav-cardiologist?specialization=cardiologist
Dr Ashish Dolas,Pimpri Chinchwad,"Plot no 78-A, 1st floor OPD Yashwant Nagar, Near Annasaheb Magar stadium",18,https://www.practo.com/pune/doctor/ashish-dolas-cardiac-surgeon-1?specialization=cardiac%20surgeon
Dr. Sachin Hundekari,Wakad,"Shop Number 209 Solitaire Business Hub ,KaspateWasti Road",13,https://www.practo.com/pune/doctor/dr-sachin-hundekari-cardiologist-1?specialization=cardiologist
Dr. Gautam Jugal,Pimple Saudagar,"Sai Ananya Eye & Heart Care Centre, 3rd fortuna Building, Shivar Chowk",12,https://www.practo.com/pune/doctor/dr-gautam-jugal-1-cardiologist-1?specialization=cardiologist
Dr. Sachin Hundekari,Wakad,"Shop Number 209 Solitaire Business Hub ,KaspateWasti Road",21,https://www.practo.com/pune/doctor/dr-sachin-hundekari-cardiologist-1?specialization=cardiologist
Dr. Satyajeet Suryawanshi,Aundh,"Flat 5, 2nd Floor Gaikwad Villa, Landmark: Opposite Seasons Hotel, Pune",15,https://www.practo.com/pune/doctor/dr-suryawanshi-satyajeet-cardiologist?specialization=cardiologist
Dr. Abhay Khode,Baner,"103 B, B, U, Bhandari Hill Side, Phase-I, Baner Road, Landmark: Near Cafe Coffee Day",21,https://www.practo.com/pune/doctor/dr-abhay-khode-cardiologist?specialization=cardiologist
Dr. Mangesh B Danej,Baner,"D-701, Yuthika Socienty, Veerbhadra Nagar, Baner, Pune",14,https://www.practo.com/pune/doctor/dr-mangesh-b-danej-cardiologist?specialization=cardiologist
Dr. Avinash Inamdar,Aundh,"1st Floor, Hrishikesh Dham B, Lane, Parihar Chowk, ITI Road",36,https://www.practo.com/pune/doctor/dr-avinash-inamdar-cardiologist-4?specialization=cardiologist
Dr. Abhijeet Joshi,Shivajinagar,"7, Chinar Heights, 2nd Floor, Model Colony, Deep Bunglow Chowk,",31,https://www.practo.com/pune/doctor/dr-abhijeet-joshi-1-cardiologist?specialization=cardiologist
Dr. Amit Sinkar,Shivajinagar,"Office Number 203, 2nd Floor, Kalpvishwa, Ghole Road,",11,https://www.practo.com/pune/doctor/dr-amit-sinkar-cardiologist?specialization=cardiologist
Dr. Abhijeet Palshikar,Kothrud,"Flat 10, 4th Floor, Yash Punit Arcade, Karve Road",19,https://www.practo.com/pune/doctor/abhijeet-palshikar-cardiologist?specialization=cardiologist
Dr. Pramod Narkhede,Viman Nagar,"Shop no S1, Ground Floor, Datta Mandir Chowk,",15,https://www.practo.com/pune/doctor/pramod-narkhede-general-physician?specialization=cardiologist
Dr Manohar Sakhare Patil,Viman Nagar,"Town Square Shopping Center 109, New Airport Road, Mhada Colony, Viman Naga",24,https://www.practo.com/pune/doctor/manohar-sakhare-cardiologist?specialization=cardiologist
Dr. Amit Sinkar,Shivajinagar,"Office Number 203, 2nd Floor, Kalpvishwa, Ghole Road",11,https://www.practo.com/pune/doctor/dr-amit-sinkar-cardiologist?specialization=cardiologist
Dr. Kanhaiya Jeswani,Hadapsar,"Coconut grove Konark Icon Unit 306 3rd floor Hadapsar NR. Magarpatta,",18,https://www.practo.com/pune/doctor/kanhaiya-jeswani-cardiologist?specialization=cardiologist
Dr. Abhay Somani,Kothrud,"105,first floor,The 4th Dimension,gulawani maharaj road,,",22,https://www.practo.com/pune/doctor/abhay-somani-cardiologist?specialization=cardiologist
Dr Ajit Mehta,Hadapsar,"153, Magarpatta City Road, Landmark: Next to Magarpatta Bus Stop, Pune",14,https://www.practo.com/pune/doctor/anand-katariya143-gmail-com-cardiologist?specialization=cardiologist
Dr. Rahul Patil,Hadapsar,"153, Magarpatta City Road, Landmark: Next to Magarpatta Bus Stop, Pune",14,https://www.practo.com/pune/doctor/dr-rahul-patil-cardiologist?specialization=cardiologist
Dr. Lohokare Nitin,Hadapsar,"Aryan Center, 3rd Floor, Solapur Road, Hadapsar, Pune, Landmark: Opposite Naibhar Theater., Pune",21,https://www.practo.com/pune/doctor/dr-lohokare-nitin-cardiologist?specialization=cardiologist
Dr. Hasmukh Gujar,Hadapsar,"# 84, Palcaino Apartment, Pune Solapur Road, Hadapsar, Landmark: Behind Vaibhav Theatre., Pune",19,https://www.practo.com/pune/doctor/dr-hasmukh-gujar-cardiologist?specialization=cardiologist
Dr. Hemant Kokane,Kharadi,"Office Number 302, Nyati Eureka, 3rd Floor, Landmark: Near Columbia Asia Hospital, Pune",11,https://www.practo.com/pune/doctor/dr-hemant-kokane-cardiologist?specialization=cardiologist
Dr. Abhijit Khadtare,Kharadi,"Apollo Clinic, #102, B Wing, 1st Floor, Kul Scapes, Magarpatta Road, Landmark: Opposite Reliance Smart, Pune",9,https://www.practo.com/pune/doctor/abhijit-khadtare-cardiologist?specialization=cardiologist
Dr. Dnyanesh Gaware,Bund Garden,"A10, Deepak Park, Kalyani Nagar Corner, Nagar Road, Landmark: Behind Janaseva Bank, Gurunanak Dairy & Near Bora Classes, Pune",36,https://www.practo.com/Pune/doctor/dr-dnyanesh-gaware-cardiologist-1?specialization=cardiologist
Dr. Ritu Dhawan Bhatia,Bund Garden,"32, Sassoon Road, Bund Garden Road, Landmark: Near Pune Railway Station, Pune",22,https://www.practo.com/Pune/doctor/dr-ritu-dhawan-bhatia-cardiologist-1?specialization=cardiologist
Dr. Nitin Patki,Baner,"Baner- Pimple Nilakh Road, Landmark: Near Prathamesh Park, Pune",37,https://www.practo.com/pune/doctor/dr-nitin-patki-cardiologist?specialization=cardiologist
Dr. Anuja Mulay,Bund Garden,"32, Sassoon Road, Bund Garden Road, Landmark: Near Pune Railway Station, Pune",14,https://www.practo.com/pune/doctor/dr-dr-anuja-mulay-internal-medicine?specialization=cardiologist
Dr. Jaskaran Dugal,Bund Garden,"32, Sasson Road, Sangamvadi, Landmark: Near Pune Railway Station, Pune",41,https://www.practo.com/pune/doctor/dr-jaskaran-dugal-cardiologist?specialization=cardiologist
Dr. Sukhdev Singh P Chadha,Bund Garden,"Dr Chadha's Clinic,10, Hernes Kunj, Mangal Das Road, Landmark: Conrad Hotel, Pune",41,https://www.practo.com/pune/doctor/dr-sukhdev-ingh-p-chadhas-cardiologist?specialization=cardiologist
Dr. Priya Palimkar ,Viman Nagar,"Shop Number 30/31, Laxmi Classic Building, Landmark: Near Pratik Nagar Chowk",20,https://www.practo.com/pune/doctor/dr-priya-palimkar-cardiologist-1?specialization=cardiologist
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
